Go.	Idź.
Get down.	Schodzić.
Get lost!	Idź precz!
Get lost.	Spadaj.
Get real!	Ogarnij się!
Go ahead!	No dalej!
Good job!	Dobra robota!
Grab Tom.	Złap Toma.
Grab him.	Złap go.
Have fun.	Miłej zabawy.
He tries.	On się stara.
He tries.	On próbuje.
Help Tom.	Pomóż Tom.
How cute!	Jak uroczo!
How deep?	Jak głęboko?
How nice!	Jak miło!
Hurry up.	Pośpiesz się!
I am hot.	Jest mi gorąco.
I am hot.	Jestem seksowna.
I did it.	Ja to zrobiłem.
I forgot.	Zapomniałem.
I get it.	Rozumiem.
I got it.	Złapałem!
I smiled.	Uśmiechnąłem się.
I stayed.	Zostałem.
I'll pay.	Ja zapłacę.
I'll try.	Spróbuję.
I'm busy.	Jestem zajęty.
I'm busy.	Zarobiony jestem.
I'm cool.	Jestem spokojny.
I'm done.	Mam dość.
I'm fair.	Jestem sprawiedliwy.
I'm free!	Jestem wolny!
I'm full.	Jestem pełny.
I'm glad.	Cieszę się.
I'm here.	Jestem tutaj.
I'm home.	Jestem w domu.
I'm hurt.	Jestem ranny.
I'm late.	Jestem spóźniony.
I'm lost.	Zgubiłem się.
I'm lost.	Jestem bezradny.
I'm lost.	Jestem zdezorientowany.
I'm mean.	Jestem wredny.
I'm next.	Jestem następny.
I'm poor.	Jestem biedny.
I'm rich.	Jestem bogaty.
I'm safe.	Jestem bezpieczny.
I'm sick.	Jestem chory.
I'm sure.	Jestem pewny.
I'm warm.	Jest mi ciepło.
I'm weak.	Jestem słaby.
I'm wise.	Jestem mądry.
I've won.	Wygrałem.
It works.	To działa.
It's hot.	Jest gorąco.
It's new.	To jest nowe.
It's red.	Jest czerwone.
It's red.	Jest czerwony.
It's red.	Jest czerwona.
Keep out!	Nie wchodzić!
Keep out.	Wstęp wzbroniony.
Kiss Tom.	Pocałuj Toma.
Leave it.	Zostaw to.
Leave me.	Zostaw mnie.
Leave us.	Zostaw nas.
Let's go!	Chodźmy!
Look out!	Uważaj!
Marry me.	Wyjdź za mnie.
May I go?	Mogę iść?
Save Tom.	Uratuj Toma.
She runs.	Biegnie.
Sit down!	Usiądź!
Sit down!	Siadaj!
Sit down.	Usiądź.
Sit here.	Usiądź tutaj.
Speak up!	Mów głośniej!
Stand by.	Przygotuj się.
Stand up!	Wstawaj!
Stay put.	Zostań na miejscu.
Stop Tom.	Zatrzymaj się Tom.
Take Tom.	Zabierz Toma.
Tell Tom.	Powiedz Tomowi.
Terrific!	Niesamowity.
They won.	Wygrali.
Tom came.	Tom przyszedł.
Tom died.	Tom umarł.
Tom fell.	Tom upadł.
Tom knew.	Tom wiedział.
Tom left.	Tom wyszedł.
Tom lied.	Tom skłamał.
Tom lies.	Tom kłamie.
Tom lost.	Tom przegrał.
Tom paid.	Tom zapłacił.
Tom quit.	Tom wyszedł.
Tom swam.	Tom płynął.
Touch it.	Dotknij tego.
Trust me.	Zaufaj mi.
Try hard.	Staraj się mocno.
Try some.	Spróbuj trochę.
Try this.	Spróbuj tego.
Use this.	Użyj tego.
Warn Tom.	Ostrzeż Toma.
Watch me.	Patrz na mnie.
Watch us.	Patrzą na nas.
We agree.	Zgadzamy się.
What for?	Po co?
Who died?	Kto umarł?
Who quit?	Kto wyszedł?
Who's he?	Kim on jest?
Write me.	Napisz do mnie.
Aim. Fire!	Cel. Ogień!
Birds fly.	Ptaki latają.
Calm down.	Uspokój się.
Can I eat?	Mogę już jeść?
Catch Tom.	Złap Tom.
Catch him.	Złap go.
Come back.	Wróć.
Come here.	Chodź tu.
Come home.	Chodź do domu.
Come over.	Przyjść.
Come soon.	Już wkrótce.
Cool down.	Uspokój się.
Did I win?	Wygrałem?
Do it now.	Zrób to teraz.
Dogs bark.	Psy szczekają.
Don't cry.	Nie płacz.
Don't die.	Nie umieraj!
Don't lie.	Nie kłam.
Fantastic!	Fantastyczny!
Feel this.	Poczuj to.
Follow me.	Chodź za mną.
Follow us.	Dołącz do nas.
Forget it!	Zapomnij o tym!
Forget it!	Zapomnij!
Get ready.	Przygotuj się.
Go inside.	Idź do środka.
Grab that.	Weź to.
Grab that.	Weź tamto.
Grab this.	Weź to.
Hands off.	Ręce precz.
He is ill.	On jest chory.
He is old.	Jest stary.
He shaved.	Ogolił się.
He's a DJ.	Jest DJ-em.
He's busy.	On jest zajęty.
He's rich.	Jest bogaty.
Hold fire.	Wstrzymać ogień.
Hold this.	Potrzymaj.
Humor Tom.	Udobruchaj Toma.
I am good.	Jestem dobry!
I am lazy.	Jestem leniwy.
I am sick.	Jestem chory.
I am sure.	Jestem pewny.
I am sure.	Jestem pewna.
I am tall.	Jestem wysoki.
I am well.	U mnie wszystko w porządku.
I fainted.	Zemdlałem.
I fainted.	Zemdlałam.
I get you.	Rozumiem, o co ci chodzi.
I hit Tom.	Uderzyłem Toma.
I laughed.	Śmiałem się.
I made it.	Udało mi się.
I must go.	Muszę iść.
I noticed.	Zauważyłem.
I noticed.	Zauważyłam.
I said no.	Powiedziałem nie.
I see Tom.	Widzę Toma.
I tripped.	Przewróciłem się.
I tripped.	Potknęłam się.
I tripped.	Potknąłem się.
I'd leave.	Wyjechałbym.
I'll call.	Zadzwonię.
I'll cook.	Ugotuję.
I'll live.	Przeżyję.
I'll pass.	Odpuszczę.
I'll sing.	Będę śpiewać.
I'll stay.	Zostanę.
I'll stop.	Przestanę.
I'll talk.	Powiem.
I'll wait.	Poczekam.
I'll walk.	Będę chodzić.
I'm a man.	Jestem mężczyzną.
I'm armed.	Jestem uzbrojony.
I'm blind.	Jestem niewidomy.
I'm bored.	Nudzi mi się.
I'm bored.	Nudzę się.
I'm brave.	Jestem odważny.
I'm broke.	Jestem spłukany.
I'm clean.	Jestem czysty.
I'm cured.	Jestem wyleczony.
I'm drunk.	Jestem pijany.
I'm first.	Jestem pierwszy.
I'm going.	Idę.
I'm happy.	Jestem szczęśliwy.
I'm happy.	Jestem szczęśliwa.
I'm quiet.	Jestem cichy.
I'm ready.	Jestem gotowy.
I'm right.	Mam rację.
I'm smart.	Jestem mądry.
I'm sorry.	Przykro mi.
I'm stuck.	Utknąłem.
I'm tired.	Jestem zmęczony.
I'm tough.	Jestem twardy.
I'm young.	Jestem młody.
I'm yours.	Jestem twój.
I've lost.	Straciłem.
Ignore it.	Nie zwracaj na to uwagi.
Is it hot?	Czy jest gorąco?
Is it hot?	Czy to jest gorące?
It snowed.	Padał śnieg.
It's 3:30.	Jest trzecia trzydzieści.
It's a TV.	To jest telewizja.
It's easy.	To łatwe.
It's hard.	To jest trudne.
It's late.	Jest późno.
It's work.	To praca.
Keep away.	Nie zbliżać się.
Keep back.	Zatrzymać się.
Keep calm.	Zachowaj spokój.
Keep cool.	Uspokój się.
Keep down.	Nie wstawaj.
Keep that.	Zatrzymać to.
Keep them.	Zatrzymać je.
Keep this.	Trzymaj to.
Keep warm.	Utrzymuj ciepło.
Leave Tom.	Zostaw Toma.
Let it be.	Niech tak będzie.
Lie still.	Leż spokojnie.
Look away.	Odwrócić wzrok.
Look back!	Spójrz wstecz!
Look back.	Spójrz wstecz.
Look here.	Popatrz tutaj.
Loosen it.	Poluzowałeś to.
Loosen up.	Wrzuć na luz.
Move over.	Przesuń się.
Of course!	Oczywiście!
Of course.	Oczywiście.
Pardon me?	Słucham?
Say hello.	Powiedz cześć.
Say hello.	Przywitaj się.
See below.	Patrz poniżej.
Seize him!	Pojmać go!
She cried.	Ona płakała.
She tried.	Próbowała.
She walks.	Ona idzie.
Sign this.	Podpisz to.
Sit still.	Usiedzieć.
Sit there.	Usiądź tam.
Sit there.	Usiądźcie tam.
Start now.	Zacząć teraz.
Stay away.	Trzymaj się z daleka.
Stay back.	Nie podchodź.
Stay calm.	Spokojnie.
Stay cool.	Zachowaj spokój.
Stay down.	Nie wstawaj.
Stay here.	Zostań tutaj.
Step back.	Krok do tyłu.
Stop here.	Zatrzymaj się tutaj.
Stop that.	Przestań.
Stop them.	Zatrzymaj ich.
Take care!	Trzymaj się!
Take care.	Trzymaj się!
Take over.	Przejąć.
Take this.	Weź to.
Thank you.	Dziękuję!
That's it.	To jest to.
Then what?	To co?
They fell.	Poczuli.
They left.	Wyszli.
They lied.	Kłamali.
They lost.	Zgubili.
They swam.	Płynęli.
Tom cared.	Tom troszczył się.
Tom cares.	Tom troszczy się.
Tom cried.	Tom płakał.
Tom dozed.	Tom drzemał.
Tom drove.	Tom przyjechał.
Tom knits.	Tom robi na drutach.
Tom knits.	Tom dzierga.
Tom knows.	Tom wie.
Tom moved.	Tom się przeprowadził.
Tom rocks.	Tom kołysał się.
Tom spoke.	Tom mówił.
Tom stood.	Tom stał.
Tom swims.	Tom pływa.
Tom tried.	Tom próbował.
Tom tries.	Tom próbuje.
Tom voted.	Tom głosował.
Tom walks.	Tom chodzi.
Tom waved.	Tom pomachał.
Tom works.	Tom pracuje.
Tom's shy.	Tom jest nieśmiały.
Trust Tom.	Zaufaj Tom.
Try again.	Spróbuj jeszcze raz.
Turn left.	Skręć w lewo.
Wait here.	Zaczekaj tutaj.
Watch Tom.	Oglądaj Tom.
Watch out!	Uważaj!
We did it.	Udało się.
We did it.	Zrobiliśmy to.
We talked.	Mówiliśmy.
We waited.	Czekaliśmy.
We'll see.	Zobaczymy.
We're sad.	Jesteśmy smutni.
Well done!	Dobra robota!
What's up?	Jak leci?
What's up?	Co jest?
Who cares?	Kogo to obchodzi?
Who knows?	Kto wie?
Who knows?	Kto zna?
Who's she?	Kim ona jest?
Wonderful!	Cudownie!
Wonderful!	Cudowny
Wonderful!	Cudowna
Wonderful!	Świetnie!
Write Tom.	Pisz Tom.
You idiot!	Ty głupcze!
You start.	Ty zaczynasz.
You tried.	Próbowałeś.
You're OK.	Jesteś w porządku.
All aboard!	Wszyscy na pokład!
Am I wrong?	Czy nie mam racji?
Answer Tom.	Odpowiedz Tom.
Are you OK?	Czy wszystko w porządku?
Are you OK?	Wszystko z tobą dobrze?
Are you OK?	Czy wszystko u ciebie OK?
Ask anyone.	Spytaj kogoś.
Ask anyone.	Poproś kogoś.
Be careful!	Bądź ostrożny.
Be careful.	Bądź ostrożny.
Be careful.	Uważaj.
Be on time.	Będę na czas.
Be patient.	Bądź cierpliwy.
Be patient.	Bądź cierpliwa.
Be patient.	Cierpliwości.
Birds sing.	Ptaki śpiewają.
Carry this.	Przenieś to.
Check this.	Sprawdź to.
Come along.	Zbliżać się.
Don't move.	Nie ruszaj się.
Eat slowly.	Jedz powoli.
Fill it up.	Napełnij to.
Follow Tom.	Śledź Toma.
Follow him.	Śledź go.
Forget Tom.	Zapomnij Tom.
Forget him.	Zapomnij o nim.
Forgive me.	Przebacz mi.
God exists.	Bóg istnieje.
He gave in.	Dał za wygraną.
He is a DJ.	Jest DJ-em.
He is here!	On tu jest!
He is nice.	On jest miły.
He is poor.	On jest biedny.
He is sick.	On jest chory.
He's smart.	On jest mądry.
How lovely!	Jak słodko!
Hurry home.	Spiesz się do domu.
I am a boy.	Jestem chłopakiem.
I am a man.	Jestem mężczyzną.
I am a man.	Jestem człowiekiem.
I am bored.	Jestem znudzony.
I am happy.	Jestem szczęśliwy.
I am ready.	Jestem gotowy.
I am short.	Jestem niski.
I am short.	Jestem niska.
I am smart.	Jestem sprytny.
I am tired.	Jestem zmęczony.
I beat Tom.	Pobiłem Tom'a.
I doubt it.	Wątpię w to.
I eat here.	Zjem tutaj.
I eat meat.	Jem mięso.
I hate Tom.	Nienawidzę Toma.
I hate you.	Niedawidzę cię.
I hate you.	Mam cię w dupie.
I know Tom.	Znam Toma.
I know her.	Znam ją.
I know him.	Znam go.
I like art.	Uwielbiam sztukę.
I like him.	Lubię go.
I like tea.	Lubię herbatę.
I like you.	Lubię cię.
I love her.	Kocham ją.
I love you.	Kocham cię.
I miss you.	Tęsknię za Tobą.
I miss you.	Tęsknię za tobą.
I need air.	Potrzebuję powietrza.
I need you.	Potrzebuję cię.
I survived.	Przeżyłem.
I think so.	Chyba tak.
I think so.	Tak mi się wydaje.
I want you.	Chcę ciebie.
I was sick.	Byłem chory.
I'll check.	Sprawdzę.
I'll drive.	Ja prowadzę.
I'll leave.	Odejdę.
I'll shoot.	Będę strzelać.
I'll stand.	Postoję.
I'll start.	Zacznę.
I'm 30 now.	Mam teraz trzydzieści lat.
I'm a hero.	Jestem bohaterem.
I'm anemic.	Jestem anemikiem.
I'm bushed.	Jestem wyczerpany.
I'm coming.	Już idę.
I'm eating.	Jem.
I'm hungry!	Jestem głodny.
I'm in bed.	Jestem w łóżku.
I'm mature.	Jestem dojrzały.
I'm paying.	Ja płacę.
I'm pooped.	Jestem wykończony!
I'm scared.	Boję się.
I'm strict.	Jestem bezwzględny.
I'm strong.	Jestem silny.
Ignore Tom.	Ignoruj Toma.
Ignore him.	Ignoruj go.
Ignore him.	Zignoruj go.
Is he dead?	Czy on jest martwy?
Is it blue?	To jest niebieskie?
Is it love?	Czy to miłość?
It is 7:30.	Jest 7:30.
It is 7:30.	Jest siódma trzydzieści.
It is 7:30.	Jest wpół do ósmej.
It is 7:30.	Jest trzydzieści po siódmej.
It is 7:45.	Jest siódma czterdzieści pięć.
It is warm.	Jest ciepło.
It matters.	To ma znaczenie.
It's early.	Jest wcześnie.
It's safer.	Tak jest bezpieczniej.
It's safer.	To jest bezpieczniejsze.
It's windy.	Jest wietrznie.
Jesus wept.	Jezus zapłakał.
Keep going.	Nie poddawaj się.
Keep notes.	Zrób notatki.
Keep quiet!	Bądź cicho!
Keep quiet.	Bądź cicho.
Keep still.	Keep still.
Leave town.	Opuścić miasto.
Let me pay.	Pozwól mi zapłacić.
Lighten up.	Rozjaśnić.
Look again.	Spójrz ponownie.
Look ahead.	Patrz przed siebie.
Look alert.	Spójrz alarm.
Look alive.	Wyglądać żywo.
Love hurts.	Miłość boli.
Love lasts.	Miłość trwa.
Mama cried.	Mama płakała.
No problem.	Nie ma problemu.
No problem.	Nie ma sprawy.
Once again.	Jeszcze raz.
Replace it.	Wymień to.
Say cheese.	Powiedz ser.
Say please.	Proszę powiedz.
Shadow him.	Śledź go.
Shove over.	Wpakować się.
Sing along.	Wspólnie śpiewać.
Smell this.	Powąchaj to.
Start here.	Zacznij tutaj.
Start over.	Zacząć od nowa.
Stay alert.	Bądź czujny.
Stay awake.	Nie zasypiaj.
Stay close.	Trzymaj się blisko.
Stay quiet.	Zamknij się.
Stay still.	Nie ruszaj się.
Stay there.	Zostań tam.
Step aside.	Odsuń się.
Stop lying.	Przestań kłamać.
Stop there.	Zatrzymaj się.
Study hard.	Ucz się pilnie.
Take cover!	Kryć się!
Take these.	Weź to.
Taste this.	Posmakuj to.
That a boy!	To chłopiec!
That hurts.	To boli.
That works.	To działa.
That's all.	To wszystko.
That's wet.	To jest mokre.
They agree.	Zgadzają się.
They cheat.	Oszukują.
They stood.	Oni stali.
They tried.	Próbowali.
They voted.	Głosowali.
This works.	To działa.
This'll do.	Może być.
Time flies.	Czas leci.
Tom agreed.	Tom się zgodził.
Tom agrees.	Tom się zgadza.
Tom burped.	Tom beknął.
Tom called.	Tom dzwonił.
Tom cheats.	Tom oszukuje.
Tom danced.	Tom tańczył.
Tom dances.	Tom tańczy.
Tom drinks.	Tom pije.
Tom drives.	Tom prowadzi.
Tom failed.	Tom zawiódł.
Tom forgot.	Tom zapomniał.
Tom fought.	Tom walczył.
Tom gasped.	Tom sapał.
Tom goofed.	Tom popełnił gafę.
Tom helped.	Tom pomógł.
Tom is shy.	Tom jest nieśmiały.
Tom jumped.	Tom skoczył.
Tom looked.	Tom spojrzał.
Tom moaned.	Tom jęknął.
Tom obeyed.	Tom posłuchał.
Tom paused.	Tom przerwał.
Tom phoned.	Tom zadzwonił.
Tom prayed.	Tom modlił się.
Tom sighed.	Tom westchnął.
Tom smiled.	Tom się uśmiechnął.
Tom snores.	Tom chrapie.
Tom stayed.	Tom został.
Tom talked.	Tom mówił.
Tom waited.	Tom czekał.
Tom walked.	Tom szedł.
Tom winked.	Tom mrugnął.
Tom worked.	Tom pracował.
Tom yawned.	Tom ziewnął.
Tom yelled.	Tom krzyknął.
Tom's deaf.	Tom jest głuchy.
Tom's glad.	Tom jest zadowolony.
Tom's sick.	Tom jest chory.
Turn right.	Skręć w prawo.
Watch this.	Patrz na to.
We are men.	Jesteśmy mężczyznami.
We can try.	Możemy spróbować.
We must go.	Musimy iść.
We're home.	Jesteśmy w domu.
We're safe.	Jesteśmy bezpieczni.
What is it?	Co to jest?
Who did it?	Kto to zrobił?
Who saw me?	Kto mnie widział?
Who's sick?	Kto jest chory?
Why bother?	Po co się trudzić?
Why bother?	Po co zawracać sobie głowę?
Wood burns.	Drewno się pali.
You called?	Zadzwoniłeś?
You're bad.	Jesteś zły.
You're big.	Jesteś wielki.
You're fun.	Jesteś zabawy.
You're mad.	Jesteś szalony.
You're odd.	Jesteś dziwny.
You're old.	Jesteś stary.
You're sad.	Jesteś smutny.
You're shy.	Jesteś nieśmiały.
You've won!	Wygrałeś!
You've won!	Wygrałaś!
You've won!	Wygraliście!
You've won!	Wygrałyście!
All is well.	Wszystko jest dobre.
Am I hungry!	Jestem głodny!
Anyone home?	Jest ktoś w domu?
Anyone hurt?	Są ranni?
Are we lost?	Zgubiliśmy się?
Are we safe?	Jesteśmy bezpieczni?
Are you new?	Jesteś nowy?
Can we come?	Możemy przyjść?
Can we help?	Czy możemy ci pomóc?
Can we stop?	Możemy zakończyć?
Can you try?	Możesz spróbować?
Clean it up.	Posprzątaj to.
Comfort Tom.	Pociesz Toma.
Contact Tom.	Kontakt z Tomem.
Cover it up.	Przykryj to.
Did Tom cry?	Czy Tom płakał?
Did Tom die?	Czy Tom umarł?
Did Tom eat?	Czy Tom zjadł?
Do you mind?	Masz coś przeciwko?
Do you mind?	Nie masz nic przeciwko?
Do you mind?	Nie przeszkadza ci to?
Do you mind?	Czy ci to przeszkadza?
Do you mind?	Przejmujesz się tym?
Don't laugh.	Nie śmiej się.
Finish this.	Skończ to.
Flip a coin.	Rzuć monetą.
Forgive Tom.	Wybacz Tom.
Get serious.	Bądź poważny.
Go have fun.	Idź się bawić.
Go help Tom.	Idź pomóc Tomowi.
Go with Tom.	Idź z Tomem.
He can come.	Może przyjść.
He can read.	On umie czytać.
He can swim.	On umie pływać.
He has come!	On przyszedł!
He is alone.	On jest sam.
He is eight.	On ma osiem lat.
He is nasty.	On jest okropny.
He was busy.	Był zajęty.
He's my age.	On jest w tym samym wieku co ja.
He's strong.	On jest silny.
Here I come.	Nadchodzę.
Here we are!	Jesteśmy na miejscu!
How are you?	Jak się masz?
How are you?	Jak się pan miewa?
How curious!	Jak ciekawie!
How strange!	Jak dziwnie!
I adore you.	Uwielbiam cię.
I also went.	Ja również poszłam.
I also went.	Ja również poszedłem.
I also went.	Ja także poszłam.
I also went.	Ja także poszedłem.
I am afraid.	Boję się.
I am better.	Jestem lepszy.
I am coming.	Przybywam.
I am sweaty.	Jestem spocony.
I avoid Tom.	Unikam Toma.
I can do it.	Mogę to zrobić.
I can't eat.	Nie mogę jeść.
I can't fly.	Nie umiem latać.
I can't win.	Nie mogę wygrać.
I feel fine.	Czuję się świetnie.
I had to go.	Musiałem iść.
I hate dogs.	Nienawidzę psów.
I hate rain.	Nienawidzę deszczu.
I hate snow.	Nienawidzę śniegu.
I have news.	Mam wieści.
I heard you.	Usłyszałem cię.
I know them.	Znam ich.
I know them.	Znam je.
I like cake.	Lubię tort.
I like cats.	Lubię koty.
I like dogs.	Lubię psy.
I like jazz.	Lubię jazz.
I like math.	Lubię matematykę.
I love cats.	Kocham koty.
I love snow.	Uwielbiam śnieg.
I need help.	Potrzebuję pomocy.
I need this.	Potrzebuję tego.
I often ski.	Często jeżdżę na nartach.
I overslept.	Zaspałem.
I said that.	Ja to powiedziałem.
I saw a UFO.	Widziałem UFO.
I saw a dog.	Widziałem psa.
I saw a dog.	Widziałam psa.
I see a boy.	Widzę chłopca.
I sell cars.	Sprzedaję samochody.
I succeeded.	Udało mi się.
I talk fast.	Mówię szybko.
I trust him.	Ufam mu.
I want this.	Chcę to.
I was angry.	Byłem zły.
I was angry.	Byłam zła.
I was fired.	Zwolnili mnie.
I was tired.	Byłem zmęczony.
I went home.	Poszedłem do domu.
I will come.	Przyjdę.
I will help.	Pomogę.
I will wait.	Zaczekam.
I will wait.	Będę czekać.
I work here.	Pracuję tutaj.
I'll attend.	Będę obecny.
I'll change.	Przebiorę się.
I'll get in.	Wejdę.
I'll scream.	Będę krzyczeć.
I'm a woman.	Jestem kobietą.
I'm at home.	Jestem w domu.
I'm blessed.	Jestem błogosławiony.
I'm careful.	Jestem uważny.
I'm certain.	Jestem pewna.
I'm curious.	Bardzo jestem ciekaw.
I'm dancing.	Tańczę.
I'm excited.	Jestem podekscytowany.
I'm excited.	Jestem podekscytowana.
I'm falling.	Spadam.
I'm finicky.	Jestem wybredny.
I'm healthy.	Jestem zdrowy.
I'm in jail.	Jestem w więzieniu.
I'm married.	Jestem zamężna.
I'm married.	Jestem mężatką.
I'm nervous.	Jestem zdenerwowany.
I'm not old.	Nie jestem stary.
I'm not you.	Nie jestem tobą.
I'm on time.	Jestem na czas.
I'm psyched.	Jestem podekscytowany.
I'm resting.	Odpoczywam.
I'm retired.	Jestem emerytem.
I'm retired.	Jestem na emeryturze.
I'm retired.	Jestem emerytką.
I'm serious.	Mówię poważnie.
I'm shocked.	Jestem zszokowany.
I'm sloshed.	Jestem pijany.
I'm smashed.	Jestem naćpany.
I'm so glad.	Tak się cieszę.
I'm starved.	Umieram z głodu.
I'm stunned.	Jestem zdumiony.
I'm thirsty.	Jestem spragniony.
I'm through.	Skończyłem.
I'm touched.	Jestem wzruszony.
I'm trapped.	Jestem w pułapce.
I'm unhappy.	Jestem nieszczęśliwy.
I'm waiting.	Czekam.
I've failed.	Zawiodłem.
Is Tom safe?	Czy Tom jest bezpieczny?
Is it foggy?	Czy jest mgliście?
Is it foggy?	Czy to jest niejasne?
Is it white?	Czy to jest białe?
Is it yours?	To twoje?
Is that fun?	Czy to jest zabawne?
It can't be!	Nie może być!
It is dusty.	To jest zakurzone.
It saved me.	To mnie uratowało.
It's a fact.	To fakt.
It's a pity.	Szkoda.
It's cloudy.	Niebo jest zachmurzone.
It's my job.	To moja praca.
It's urgent.	To pilne.
Keep moving.	Nie zatrzymuj się.
Let me help.	Pozwól, że ci pomogę.
Let me help.	Pozwól mi pomóc.
Let's begin.	Zaczynajmy.
Let's do it.	Zróbmy to.
Let's start!	Zaczynajmy.
Let's start!	Zaczynajmy!
Let's start!	Zacznijmy!
Let's start.	Zaczynajmy.
Let's start.	Zacznijmy.
Life is fun.	Życie to zabawa.
Look around.	Rozejrzyj się wokoło.
Look at him.	Spójrz na niego.
Look closer.	Przypatrz się dobrze.
Make a wish.	Powiedz życzenie.
Many thanks.	Wielkie dzięki.
May I smoke?	Mogę zapalić?
Memorize it.	Zapamiętać to.
Money talks.	Pieniądze mają siłę przekonywania.
Nobody came.	Nikt nie przyszedł.
Nobody lied.	Nikt nie kłamał.
Now we wait.	A teraz czekamy.
OK. I agree.	Ok, zgadzam się.
Plants grow.	Rośliny rosną.
Please come.	Proszę, przyjdź.
Please sing.	Proszę śpiewać.
Please stay.	Proszę zostać.
Please stop!	Proszę się zatrzymać!
Please stop.	Proszę przestać.
Please wait.	Proszę czekać.
Release Tom.	Wydaj Toma.
Release him.	Zwalnia go.
Remember it.	Zapamiętaj to.
Return fire.	Odpowiedz ogniem.
Say goodbye.	Powiedz do widzenia.
Say goodbye.	Pożegnaj się.
Say nothing.	Nie nie mów.
Settle down!	Ustatkować się.
She blushed.	Zarumieniła się.
She is dead.	Ona nie żyje.
She woke up.	Obudziła się.
Sit with me.	Siadaj ze mną.
Sleep tight.	Śpij dobrze.
Speak to me.	Mów do mnie.
Stand aside!	Stań z boku!
Stand still!	Stój spokojnie!
Start again.	Zacznij jeszcze raz.
Stay in bed.	Zostań w łóżku.
Stay inside.	Zostań w środku.
Stop crying.	Przestań płakać.
Stop it now.	Skończ to teraz.
Stop moving.	Przestań się ruszać.
Stop trying.	Przestań próbować.
Take a rest.	Odpocznij.
Take action.	Podjąć działania.
Take my car.	Weź moje auto.
That helped.	To pomogło.
That worked.	To zadziałało.
That's cool.	To super.
That's free.	To jest za darmo.
That's huge.	To jest ogromne.
That's life.	Takie jest życie.
That's true.	To prawda.
The TV's on.	Telewizor jest włączony.
They burned.	Spalili.
They called.	Zadzwonili.
They danced.	Tańczyli.
They hugged.	Przytulili.
They may go.	Mogą iść.
They obeyed.	Posłuchali.
They smiled.	Uśmiechnęli się.
They waited.	Czekali.
They walked.	Szli.
