City,Location_Score,Internal_Audit_Score,External_Audit_Score,Fin_Score,Loss_score,Past_Results,IsUnderRisk
10,8.82,4,5,3,4,1,0
6,21.472,11,10,8,3,0,1
41,68.892,6,3,4,8,1,0
41,41.666,15,9,6,8,1,1
8,22.09,12,7,7,5,1,1
1,19.142,4,8,14,7,0,1
28,22.846,10,3,6,3,0,1
19,8.563,13,7,7,6,0,1
8,65.226,5,4,7,8,0,0
10,5.643,3,5,5,5,0,1
13,65.948,8,7,7,7,1,0
5,24.318,12,12,8,4,1,1
41,14.28,8,4,4,8,0,0
5,21.454,6,7,7,7,0,0
40,6.625,3,5,11,6,1,1
3,15.364,8,3,3,6,1,0
25,20.164,15,11,11,4,0,1
5,13.616,8,6,4,3,0,1
37,23.185,6,4,5,5,1,0
17,72.416,3,7,3,4,1,0
19,70.696,8,5,3,3,0,0
33,16.881,10,11,12,7,1,1
5,60.24,8,7,8,5,1,0
2,17.192,12,5,7,6,1,1
40,7.522,9,5,8,6,0,1
4,22.535,10,5,6,8,1,1
31,9.919,7,5,6,7,1,1
3,76.245,7,5,8,4,0,0
2,61.29,7,8,3,7,0,0
13,21.153,4,14,6,8,1,1
2,77.113,7,3,8,3,1,0
1,72.068,3,5,7,8,1,0
37,11.999,6,3,5,7,1,0
23,9.546,7,3,5,7,1,1
2,7.698,12,9,3,6,1,1
9,27.759,5,7,14,8,1,1
3,68.356,4,5,3,8,0,0
35,29.201,3,5,7,4,1,0
37,13.203,7,7,6,5,1,0
8,66.008,5,7,5,6,1,0
40,40.352,6,4,5,8,1,0
15,16.942,10,13,12,4,1,1
21,17.052,13,5,10,8,1,1
38,73.811,8,5,8,5,1,0
6,72.971,4,5,3,6,1,0
40,13.558,10,11,4,5,0,1
31,75.918,5,7,7,3,0,0
18,11.058,4,3,13,8,0,1
4,59.526,5,7,6,4,1,0
2,18.979,3,4,10,7,0,1
3,67.946,8,7,13,8,1,1
31,12.785,4,7,4,4,1,0
9,18.976,11,10,4,3,1,1
9,80.219,7,3,6,4,1,0
41,9.254,13,11,14,5,1,1
3,64.037,7,4,8,4,1,0
40,11.955,6,4,3,6,0,1
21,22.967,7,10,10,8,0,1
10,20.613,12,3,5,7,0,1
41,9.075,6,3,4,7,0,0
5,22.625,14,12,13,5,0,1
30,20.766,11,9,7,5,0,1
17,20.078,7,5,7,8,1,0
23,20.682,7,11,3,4,1,1
9,9.928,13,4,5,7,1,1
37,14.566,11,5,6,8,0,1
13,62.656,5,4,5,6,0,0
40,63.099,6,3,5,3,1,0
16,64.281,4,5,5,5,1,0
13,13.359,10,8,6,4,0,1
6,18.501,6,8,5,6,0,1
2,14.481,11,3,14,6,0,1
41,7.571,12,12,12,5,1,1
30,12.394,11,7,8,5,1,1
10,17.583,12,13,12,3,3,1
19,33.904,5,6,5,8,1,0
4,12.165,12,11,4,5,0,1
1,6.324,12,10,4,3,0,1
16,8.297,7,5,4,7,0,0
28,19.9,13,10,3,6,1,1
37,22.902,10,13,11,4,0,1
35,8.091,6,5,8,5,1,0
9,23.716,3,8,3,5,1,0
27,19.155,13,14,11,4,1,1
8,64.194,5,7,3,6,0,0
13,12.117,11,10,11,7,1,1
5,70.247,4,7,6,4,1,0
9,11.595,13,4,7,3,1,1
20,24.486,12,12,11,3,1,1
40,65.404,5,8,5,4,1,1
17,19.701,11,13,6,10,3,1
9,11.83,5,6,3,3,0,0
10,22.447,9,3,10,6,1,1
22,7.991,10,13,15,4,1,1
6,18.282,4,5,7,3,0,0
40,72.207,5,8,3,6,1,1
30,11.222,14,3,8,7,0,1
10,75.574,8,3,3,11,0,1
22,18.042,15,11,12,8,1,1
40,8.621,9,8,8,5,1,1
3,5.363,4,6,4,3,0,1
13,75.891,3,5,8,8,0,0
1,15.782,6,11,4,7,0,1
4,16.334,7,8,5,5,1,1
6,12.858,10,11,11,3,0,1
6,63.614,5,4,4,4,0,0
40,21.671,15,10,10,5,4,1
31,74.686,3,4,6,7,1,0
31,8.0,5,8,7,3,0,0
9,16.56,11,8,6,9,1,1
23,16.49,10,7,7,8,0,1
13,14.713,3,7,8,4,1,1
17,19.683,7,11,13,13,1,1
6,17.594,11,7,10,4,1,1
10,12.576,5,6,10,3,0,1
4,12.268,14,10,15,4,0,1
3,18.244,15,6,5,6,1,1
9,67.553,11,5,5,8,1,1
38,21.641,11,5,3,10,0,1
3,63.693,5,6,4,4,0,0
9,69.416,10,5,12,3,0,1
5,60.086,3,4,5,6,0,0
17,59.321,7,8,8,4,1,0
6,6.261,8,5,6,4,0,1
38,10.282,7,7,7,6,1,1
41,17.047,15,8,3,3,1,1
9,13.036,11,10,7,7,1,1
41,33.32,8,5,8,4,0,0
10,16.115,12,3,12,3,2,1
37,8.369,7,6,6,5,0,0
27,72.532,7,4,5,7,0,0
3,80.664,7,3,4,6,1,0
23,19.707,13,10,10,6,0,1
10,13.762,8,8,8,7,0,1
9,10.442,11,14,7,6,1,1
32,9.691,13,10,10,6,1,1
37,21.999,11,7,3,4,1,1
37,10.15,11,15,12,7,0,1
3,30.135,3,4,8,3,1,0
23,16.807,13,10,14,3,1,1
13,10.768,7,8,11,3,0,1
4,24.984,6,8,8,8,1,0
37,20.889,15,10,8,3,0,1
40,71.992,10,11,8,6,0,1
20,24.68,6,3,8,3,1,0
6,8.325,10,14,10,7,2,1
2,14.849,8,3,11,5,1,1
28,11.034,15,15,15,6,1,1
9,8.56,10,11,14,4,1,1
9,69.772,6,7,3,3,0,0
41,66.184,7,4,6,4,1,0
12,17.618,3,11,10,7,2,1
10,40.773,12,13,13,5,0,1
6,6.112,5,6,7,7,1,0
13,75.738,7,5,6,7,0,0
18,20.051,7,4,8,4,1,1
13,18.501,12,12,5,6,1,1
41,68.023,8,3,4,8,0,0
38,19.019,4,5,7,7,1,0
0,64.929,6,5,4,8,0,1
31,30.22,5,3,5,4,0,0
13,16.512,4,8,5,7,1,0
2,21.333,13,7,5,3,0,1
9,15.379,13,10,15,3,0,1
31,14.672,11,13,11,5,0,1
18,80.138,7,4,6,6,1,0
31,20.253,5,3,8,8,0,0
37,12.874,5,8,8,8,1,0
37,72.212,5,6,5,3,0,0
5,11.535,8,4,7,3,0,0
31,16.408,15,15,10,6,1,1
9,60.309,3,6,6,3,0,0
37,18.162,5,8,3,5,0,0
6,73.498,3,7,4,5,0,0
9,14.677,10,6,13,6,0,1
40,18.887,8,6,11,3,0,1
23,11.823,5,6,11,8,0,1
19,12.789,15,14,9,8,0,1
19,58.808,5,7,8,8,0,0
37,32.721,6,6,7,7,1,1
40,21.223,14,14,7,5,1,1
6,24.267,15,11,5,8,1,1
41,70.218,8,4,8,5,1,0
6,14.561,4,5,3,8,0,0
31,58.818,6,3,5,3,1,0
38,16.393,8,8,8,8,0,0
37,10.168,10,5,5,8,1,1
4,37.642,3,7,3,5,1,0
19,75.161,6,6,5,4,0,0
10,20.034,4,5,3,5,0,1
13,18.201,11,11,14,3,0,1
5,19.175,15,12,14,3,1,1
37,61.63,7,5,3,3,1,1
28,65.894,7,3,3,6,1,0
40,17.033,9,8,5,7,0,1
4,66.136,6,6,8,3,1,0
38,71.909,6,3,7,6,1,0
13,27.942,8,8,4,4,0,0
5,67.543,10,6,3,4,0,1
9,66.707,11,13,8,6,1,1
6,18.038,8,4,11,5,0,1
37,12.487,10,5,8,7,0,1
18,20.02,7,8,5,4,1,1
40,73.983,3,4,4,3,0,0
1,11.969,10,13,11,4,0,1
7,58.874,4,6,7,6,0,0
29,16.48,3,12,13,3,1,1
8,68.296,6,7,6,6,0,0
6,22.004,7,6,6,7,0,1
3,30.951,6,5,6,3,0,0
4,23.571,5,7,5,3,0,0
5,62.532,4,6,3,8,0,0
6,37.788,8,5,4,5,1,0
13,15.208,7,8,8,5,0,1
2,20.733,11,5,4,3,0,1
38,16.718,11,13,12,4,6,1
40,21.376,14,10,13,7,1,1
38,18.017,5,4,8,6,1,0
38,21.251,8,3,5,6,0,0
6,14.154,13,10,8,4,1,1
6,20.265,10,15,4,4,0,1
11,22.732,3,3,7,7,1,1
9,20.05,6,8,4,6,0,1
1,15.202,3,4,3,7,0,0
31,80.809,4,3,4,5,0,0
2,24.728,7,7,4,4,1,0
40,16.587,15,10,10,8,0,1
6,41.128,3,4,5,7,0,0
9,18.172,6,4,8,4,1,1
40,7.385,15,6,8,7,0,1
10,19.029,5,3,6,3,0,1
23,19.803,9,10,3,8,1,1
9,42.041,6,4,4,5,1,0
3,60.161,6,6,7,5,1,1
22,9.142,12,7,8,5,0,1
2,10.854,8,8,3,4,0,1
0,16.903,12,9,10,5,1,1
6,14.766,8,5,6,8,1,1
4,16.089,5,5,4,5,0,0
6,63.296,3,5,4,6,1,1
5,67.833,8,6,5,6,1,0
9,60.644,13,7,6,6,1,1
40,74.922,7,4,8,3,1,0
19,14.959,8,15,10,8,0,1
41,61.286,7,8,7,3,0,1
9,17.933,8,6,5,6,1,1
13,15.847,5,11,5,8,1,1
38,21.237,10,8,7,6,1,1
2,10.077,10,3,6,4,1,1
23,16.805,8,3,9,3,0,1
30,13.572,9,6,14,7,0,1
2,6.999,8,5,4,6,1,0
5,16.108,10,8,11,5,2,1
41,5.185,12,4,8,4,1,1
5,25.534,8,7,8,8,0,1
38,30.828,7,8,8,3,0,1
10,67.897,4,5,10,7,1,1
30,14.507,11,15,11,7,1,1
38,7.458,9,3,7,8,1,1
41,12.804,11,3,5,3,1,1
38,19.81,3,8,6,4,0,0
40,67.522,8,5,7,5,1,0
40,73.206,8,6,5,6,0,0
41,13.028,3,7,6,4,1,1
0,76.01,8,15,14,7,2,1
38,75.721,8,6,7,3,0,0
23,12.662,13,7,11,8,0,1
38,21.563,7,8,4,6,1,1
6,13.987,12,3,15,3,1,1
38,14.646,6,3,3,7,0,1
10,71.1,3,6,3,6,0,1
5,8.196,15,13,9,5,0,1
2,17.289,4,6,8,6,0,0
5,22.043,11,15,13,7,1,1
11,19.878,8,10,11,3,1,1
2,16.54,11,12,11,6,1,1
3,69.527,8,4,7,4,1,0
19,18.109,12,10,15,5,0,1
2,17.371,8,8,6,4,0,1
6,21.531,11,14,15,8,1,1
9,15.612,6,7,4,3,1,1
41,65.896,4,7,8,3,0,0
42,17.919,3,4,4,8,0,0
28,17.0,4,11,10,3,1,1
0,17.261,12,12,9,6,1,1
22,21.615,13,7,8,5,1,1
3,23.557,8,5,8,3,1,1
19,10.466,11,14,6,3,0,1
1,13.054,7,6,5,8,1,0
1,66.935,8,12,4,3,0,1
2,8.17,12,6,6,3,0,1
23,13.901,10,10,12,3,0,1
10,20.925,6,5,5,8,10,1
40,59.672,8,4,3,3,0,1
10,76.146,6,5,7,4,1,1
40,12.52,15,14,6,5,1,1
1,10.14,6,8,13,8,0,1
31,72.246,6,8,8,4,0,0
3,7.615,13,6,3,8,1,1
27,65.626,4,7,8,7,0,0
9,73.268,6,11,3,7,1,1
3,10.284,10,14,15,5,0,1
40,73.547,4,7,6,6,1,1
4,22.291,11,3,4,4,1,1
10,64.806,8,4,7,8,0,1
40,22.447,12,10,5,5,0,1
40,39.997,5,8,4,4,1,0
37,18.104,6,8,3,6,1,0
40,7.864,15,3,5,7,0,1
23,71.073,6,3,8,6,0,1
23,72.196,9,5,4,7,0,1
40,76.346,7,4,4,8,1,1
41,59.967,7,8,6,5,1,0
17,22.117,10,10,4,8,0,1
1,22.523,6,6,7,3,1,0
5,66.913,8,3,7,7,0,1
40,74.813,5,6,4,6,1,0
10,9.372,7,9,5,4,0,1
10,9.722,7,3,7,5,1,1
41,70.952,10,12,6,7,0,1
31,14.813,12,8,7,8,1,1
40,18.708,10,14,11,6,1,1
10,68.119,13,11,9,5,1,1
40,10.332,15,10,12,8,0,1
9,7.538,7,3,4,6,1,1
40,18.307,6,6,4,8,1,0
10,11.284,8,8,7,6,0,1
6,10.744,12,4,4,5,1,1
22,42.592,4,6,3,7,1,0
31,73.383,3,7,6,3,1,0
19,76.174,6,3,4,4,0,0
6,68.657,3,5,4,7,0,0
40,18.196,5,6,3,7,0,1
17,68.004,8,7,3,5,0,0
40,15.71,3,3,6,5,0,1
41,11.1,8,6,8,4,0,0
35,14.471,12,3,4,8,0,1
40,19.433,8,8,4,8,1,1
2,12.28,10,15,8,4,1,1
35,69.969,7,6,6,4,1,0
19,74.384,8,5,5,4,1,0
44,5.931,5,8,6,4,0,0
10,24.361,8,8,4,4,0,0
6,10.578,7,3,5,5,0,1
9,11.344,11,13,4,8,0,1
9,21.946,15,13,6,6,1,1
37,12.318,8,8,3,5,0,0
41,22.134,11,7,7,8,1,1
26,10.607,10,11,13,5,1,1
18,62.091,4,3,7,8,1,0
6,74.338,8,7,6,4,0,0
41,20.634,4,7,7,5,0,0
16,74.017,7,4,5,7,1,0
2,70.46,7,5,6,4,0,0
1,79.243,7,5,3,8,1,0
40,69.14,7,8,4,5,1,1
13,23.332,14,12,10,3,2,1
